Compliance Name,Domain Name,Category,What It Is,Why It Is Important,Why It Is Needed,How It Should Work,Minimum Requirements for Compliance,Required Evidence,Audit / Pass Criteria,Non-Compliance Triggers,Typical Applicability / SBU,Indicative Process Owner
Export Duty,Tax Compliance,"Finance, Tax & Insurance","Export Duty is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Withholding Tax,Tax Compliance,"Finance, Tax & Insurance","Withholding Tax is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Advance Income Tax,Tax Compliance,"Finance, Tax & Insurance","Advance Income Tax is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Transfer Pricing,Tax Compliance,"Finance, Tax & Insurance","Transfer Pricing is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Excise Duty,Tax Compliance,"Finance, Tax & Insurance","Excise Duty is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Supplementary Duty,Tax Compliance,"Finance, Tax & Insurance","Supplementary Duty is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Stamp Duty,Tax Compliance,"Finance, Tax & Insurance","Stamp Duty is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Tax Return,Tax Compliance,"Finance, Tax & Insurance","Tax Return is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Tax Assessment,Tax Compliance,"Finance, Tax & Insurance","Tax Assessment is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Tax Audit,Tax Compliance,"Finance, Tax & Insurance","Tax Audit is the registration, calculation, documentation, filing, payment and defence of taxes, duties and statutory deductions. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It protects cash flow and financial statements, prevents interest, penalty and prosecution, and supports lawful trade and reliable reporting.","It is needed because taxable entities and transactions create recurring obligations under income tax, VAT, customs, withholding, transfer-pricing and related laws. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain tax registrations, a law/SRO change process, transaction tax rules, reconciliations, maker-checker returns, payment controls, document retention, controversy management and management reporting. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Determine taxable scope and rates; configure master data; calculate from reconciled records; review exemptions and positions; obtain approval; file and pay on time; issue/retain required certificates; reconcile ledgers to returns; monitor audits and changes; remediate exceptions. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Registrations, tax computations, reconciliations, returns, challans/payment receipts, invoices, withholding certificates, customs declarations, transfer-pricing files, assessments, rulings and correspondence. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when registration, calculation, withholding, invoicing, filing and payment are accurate and timely, balances reconcile, positions are supported and no material overdue exposure remains. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes unregistered activity, wrong rate/classification, late return/payment, unsupported exemption, unreconciled balance, missing certificate, inaccurate declaration or unresolved material assessment.",All taxable entities and transactions,Head of Tax / CFO
Tax Certificates,Tax Compliance,"Finance, Tax & Insurance","Tax Certificates is the lifecycle for obtaining, maintaining, renewing and complying with a required licence, permit, registration, certificate, clearance, NOC or approval. Within Tax Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","A valid authorization can be a condition of lawful operation; failure may require shutdown, recall, seizure, penalty or regulator escalation.","It is needed whenever a law, regulator, customer, certification scheme or site condition prohibits activity without prior or continuing approval. Primary catalogue basis: Income Tax Act; VAT law; Customs law. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Maintain a complete authorization register, named owner/deputy, condition tracker, 90/60/30/15/7/1-day reminders, maker-reviewer-approver workflow, renewal evidence and escalation that blocks unauthorized operation. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.","Confirm applicability and issuing authority; obtain approval before activity; record number, scope, conditions and expiry; monitor every condition; submit accurate renewal early; retain official receipt and certificate; escalate expiry; stop or restrict activity when authorization is absent unless written authority permits continuation. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.","Current certificate/permit/licence, application and fee receipt, regulator acknowledgement, approved conditions register, monitoring reports, inspection records, correspondence, renewal calendar and escalation logs. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when the authorization is valid for the correct entity/site/activity, every material condition is met, renewal is timely, official evidence is retained and the control operated throughout the period. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Non-compliant if approval is absent, expired, out of scope, condition-breached, obtained after activity without authority, renewed late, supported by inaccurate information or not evidenced.",All taxable entities and transactions,Head of Tax / CFO
IFRS Compliance,Finance Compliance,"Finance, Tax & Insurance","IFRS Compliance is the financial reporting, accounting, treasury, asset, budget and internal-control practices that safeguard resources and produce reliable information. Within Finance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It enables sound decisions, protects assets, deters error and fraud, and supports accurate statutory, lender, tax and management reporting.","It is needed to meet IFRS/IAS, company and tax law, banking conditions, audit requirements and approved financial policies. Primary catalogue basis: IFRS; IAS; COSO Internal Control. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use approved accounting policies, segregation of duties, system access, reconciliations, authorization limits, close controls, variance review, asset verification and independent assurance. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Apply approved accounting rules; restrict and review access; authorize transactions; reconcile subledgers/banks/inventory/assets; investigate variances; close on schedule; review estimates and disclosures; preserve support; test controls and remediate findings. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Ledgers, journals, reconciliations, approvals, bank statements, budgets, forecasts, asset counts, inventory records, financial statements, audit reports and management review minutes. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when balances and transactions are complete, accurate, authorized, reconciled, supported, timely and compliant with the applicable reporting framework and policies. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes material misstatement, unsupported journal, unreconciled account, unauthorized payment, asset loss, access conflict, missed close/control or unresolved audit finding.",All SBUs and reporting entities,Chief Financial Officer
IAS Compliance,Finance Compliance,"Finance, Tax & Insurance","IAS Compliance is the financial reporting, accounting, treasury, asset, budget and internal-control practices that safeguard resources and produce reliable information. Within Finance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It enables sound decisions, protects assets, deters error and fraud, and supports accurate statutory, lender, tax and management reporting.","It is needed to meet IFRS/IAS, company and tax law, banking conditions, audit requirements and approved financial policies. Primary catalogue basis: IFRS; IAS; COSO Internal Control. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use approved accounting policies, segregation of duties, system access, reconciliations, authorization limits, close controls, variance review, asset verification and independent assurance. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Apply approved accounting rules; restrict and review access; authorize transactions; reconcile subledgers/banks/inventory/assets; investigate variances; close on schedule; review estimates and disclosures; preserve support; test controls and remediate findings. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Ledgers, journals, reconciliations, approvals, bank statements, budgets, forecasts, asset counts, inventory records, financial statements, audit reports and management review minutes. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when balances and transactions are complete, accurate, authorized, reconciled, supported, timely and compliant with the applicable reporting framework and policies. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes material misstatement, unsupported journal, unreconciled account, unauthorized payment, asset loss, access conflict, missed close/control or unresolved audit finding.",All SBUs and reporting entities,Chief Financial Officer
Internal Financial Controls,Finance Compliance,"Finance, Tax & Insurance","Internal Financial Controls is the financial reporting, accounting, treasury, asset, budget and internal-control practices that safeguard resources and produce reliable information. Within Finance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It enables sound decisions, protects assets, deters error and fraud, and supports accurate statutory, lender, tax and management reporting.","It is needed to meet IFRS/IAS, company and tax law, banking conditions, audit requirements and approved financial policies. Primary catalogue basis: IFRS; IAS; COSO Internal Control. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use approved accounting policies, segregation of duties, system access, reconciliations, authorization limits, close controls, variance review, asset verification and independent assurance. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Apply approved accounting rules; restrict and review access; authorize transactions; reconcile subledgers/banks/inventory/assets; investigate variances; close on schedule; review estimates and disclosures; preserve support; test controls and remediate findings. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Ledgers, journals, reconciliations, approvals, bank statements, budgets, forecasts, asset counts, inventory records, financial statements, audit reports and management review minutes. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when balances and transactions are complete, accurate, authorized, reconciled, supported, timely and compliant with the applicable reporting framework and policies. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes material misstatement, unsupported journal, unreconciled account, unauthorized payment, asset loss, access conflict, missed close/control or unresolved audit finding.",All SBUs and reporting entities,Chief Financial Officer
Treasury Compliance,Finance Compliance,"Finance, Tax & Insurance","Treasury Compliance is the financial reporting, accounting, treasury, asset, budget and internal-control practices that safeguard resources and produce reliable information. Within Finance Compliance, it defines the obligation, accountable roles, control activities and evidence needed to demonstrate conformity.","It enables sound decisions, protects assets, deters error and fraud, and supports accurate statutory, lender, tax and management reporting.","It is needed to meet IFRS/IAS, company and tax law, banking conditions, audit requirements and approved financial policies. Primary catalogue basis: IFRS; IAS; COSO Internal Control. Applicability must be validated for the specific SBU, entity, site, product, activity and jurisdiction.","Use approved accounting policies, segregation of duties, system access, reconciliations, authorization limits, close controls, variance review, asset verification and independent assurance. Link the source → obligation → risk → control → owner → due date → evidence → testing → finding/CAPA → management review.",Apply approved accounting rules; restrict and review access; authorize transactions; reconcile subledgers/banks/inventory/assets; investigate variances; close on schedule; review estimates and disclosures; preserve support; test controls and remediate findings. Universal CMS controls: assign a unique ID; document applicability and source; obtain Legal approval for legal interpretations; name owner/reviewer/approver; define frequency and due date; prevent closure without evidence; retain audit trail; escalate exceptions; complete CAPA and independent effectiveness retest.,"Ledgers, journals, reconciliations, approvals, bank statements, budgets, forecasts, asset counts, inventory records, financial statements, audit reports and management review minutes. Evidence must be authentic, current, attributable, approved where required, protected and retrievable.","Pass only when balances and transactions are complete, accurate, authorized, reconciled, supported, timely and compliant with the applicable reporting framework and policies. A COMPLIANT conclusion requires both effective design and effective operation, current sufficient evidence for the full in-scope period, and no unresolved mandatory or critical/high breach. Missing material evidence means NOT DEMONSTRATED, not compliant.","Failure includes material misstatement, unsupported journal, unreconciled account, unauthorized payment, asset loss, access conflict, missed close/control or unresolved audit finding.",All SBUs and reporting entities,Chief Financial Officer
