Compliance Name,Domain Name,Category,Typical Applicability / SBU,Indicative Process Owner
Stamp Duty,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Tax Return,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Tax Assessment,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Tax Audit,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
Tax Certificates,Tax Compliance,"Finance, Tax & Insurance",All taxable entities and transactions,Head of Tax / CFO
IFRS Compliance,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
IAS Compliance,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Internal Financial Controls,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Treasury Compliance,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Cash Management,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Budget Compliance,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Financial Reporting,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
External Audit,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Internal Audit,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Asset Verification,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Fixed Asset Register,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Inventory Controls,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
Banking Compliance,Finance Compliance,"Finance, Tax & Insurance",All SBUs and reporting entities,Chief Financial Officer
ISO 31000,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Enterprise Risk Management,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Compliance Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Operational Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Strategic Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Financial Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Project Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Reputational Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Emerging Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Business Continuity Risk,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Risk Register,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Risk Appetite,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
Risk Treatment,Enterprise Risk Management,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Risk Officer
ISO 37301,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Obligations,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Universe,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Register,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Monitoring,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Testing,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Assessment,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Reporting,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Dashboard,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Review,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Compliance Improvement,Compliance Management System,"Governance, Legal & Integrity",Group-wide and all SBUs,Chief Compliance Officer
Code of Conduct,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Business Ethics,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Conflict of Interest,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Gifts & Hospitality,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Donations,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Sponsorship,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Political Contributions,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Ethical Decision Making,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Ethical Reporting,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
Integrity Declaration,Ethics & Integrity Compliance,"Governance, Legal & Integrity","All employees, directors and third parties",Chief Compliance Officer
ISO 37001,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Bribery Risk Assessment,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Third Party Due Diligence,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Facilitation Payments,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Gifts Register,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Hospitality Register,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Anti-Corruption Controls,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Financial Controls,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
Commercial Controls,Anti-Bribery Compliance,"Governance, Legal & Integrity","All SBUs, high-risk functions and third parties",Chief Compliance Officer
ISO 37003,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Fraud Risk Assessment,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Fraud Register,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Fraud Investigation,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Fraud Monitoring,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Payroll Fraud,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Procurement Fraud,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Financial Fraud,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Asset Misappropriation,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Expense Fraud,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
Cyber Fraud,Fraud Control Compliance,"Governance, Legal & Integrity","All SBUs, processes and systems",Compliance / Internal Audit
ISO 37002,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Speak-Up Program,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Anonymous Reporting,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Confidential Reporting,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Reporter Protection,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Retaliation Prevention,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Case Investigation,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Case Management,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Corrective Actions,Whistleblowing Compliance,"Governance, Legal & Integrity","All employees, workers and external reporters",Chief Compliance Officer
Labour Law,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Employment Contract,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Recruitment Compliance,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Working Hours,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Overtime,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Leave Management,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Payroll,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Provident Fund,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Gratuity,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Equal Opportunity,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Diversity & Inclusion,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Anti-Harassment,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Employee Discipline,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Employee Welfare,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Performance Management,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
Employee Exit,Human Resource Compliance,People & Human Rights,"All employees, workers, contractors and workplaces",Chief Human Resources Officer
ISO 45001,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Workplace Safety,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
PPE,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Permit to Work,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Lock Out Tag Out (LOTO),Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Machine Safety,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Electrical Safety,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Fire Safety,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Emergency Response,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Incident Reporting,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Accident Investigation,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Occupational Health,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Medical Surveillance,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Contractor Safety,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
Safety Training,Occupational Health & Safety,"HSE, Environment & Sustainability","All factories, sites, offices and projects",Head of HSE
ISO 14001,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Environmental Clearance,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Air Emission,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Water Discharge,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Effluent Treatment,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Hazardous Waste,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Solid Waste,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Chemical Management,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Pollution Control,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Biodiversity,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Noise Control,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Energy Management,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Carbon Emission,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
Climate Compliance,Environmental Compliance,"HSE, Environment & Sustainability",All sites with environmental aspects or permits,Head of Environment / HSE
ISO 9001,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Quality Management,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Inspection,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Testing,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Calibration,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Product Release,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Product Recall,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Customer Complaint,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
Non-Conformance,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
CAPA,Quality Compliance,"Quality, Product & Customer","All product, service and manufacturing SBUs",Head of Quality
ISO 22000,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
HACCP,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
GMP,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
GHP,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
Food Hygiene,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
Food Traceability,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
Cold Chain,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
Food Labelling,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
Food Recall,Food Safety Compliance,"Quality, Product & Customer","Food, beverage, agriculture and cold-chain SBUs",Head of Food Safety / Quality
ISO 27001,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Access Control,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Identity Management,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Password Policy,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Encryption,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Backup,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Patch Management,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Vulnerability Management,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Incident Response,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Security Awareness,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
Asset Management,Information Security,"Technology, Data & Security","All information assets, systems and users",CISO / Head of IT
NIST CSF,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
CIS Controls,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Endpoint Security,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Network Security,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Cloud Security,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Email Security,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Threat Intelligence,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Penetration Testing,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Security Monitoring,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
Digital Forensics,Cyber Security,"Technology, Data & Security",All digital infrastructure and connected operations,CISO / SOC Lead
GDPR,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Personal Data Protection,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Consent Management,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Classification,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Retention,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Sharing,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Cross Border Transfer,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Privacy Impact Assessment,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
Data Breach Management,Privacy & Data Protection,"Technology, Data & Security",All personal-data processing and cross-border transfers,Data Protection Officer / Legal
ISO 22301,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
Business Continuity Planning,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
Disaster Recovery,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
Crisis Management,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
Emergency Communication,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
Backup Testing,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
BCM Exercise,Business Continuity,"Resilience, Security & Emergency","All critical processes, facilities and services",Business Continuity Manager
Procurement Policy,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Tender Management,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Bid Evaluation,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Purchase Approval,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Vendor Selection,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Procurement Ethics,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Contract Award,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Purchase Order Compliance,Procurement Compliance,"Supply Chain, Trade & Operations",All sourcing and purchase activities,Chief Procurement Officer
Supplier Due Diligence,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Vendor Risk Assessment,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Distributor Assessment,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Agent Assessment,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Dealer Assessment,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Contractor Assessment,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
Sanctions Screening,Third Party Compliance,"Supply Chain, Trade & Operations","Suppliers, vendors, agents, dealers, contractors and consultants",Procurement / Compliance
